Suburb,State,PostCode
BOORARA BROOK,WA,6262
BOORCAN,VIC,3265
BOORGA,NSW,2652
BOORHAMAN NORTH,VIC,3685
BOOROWA,NSW,2586
BOORS PLAIN,SA,5554
BORAH CREEK,NSW,2346
BORALMA,VIC,3682
BORANUP,WA,6286
BORA RIDGE,NSW,2471
BOREEN POINT,QLD,4565
BORNES HILL,VIC,3379
BORONIA,VIC,3155
BORONIA HEIGHTS,QLD,4124
BOROREN,QLD,4678
BORRIKA,SA,5309
BORROLOOLA,NT,854
BOSTON,SA,5607
BOTANIC RIDGE,VIC,3977
BOTANY,NSW,1455
BOULDER,WA,6432
BOUNDAIN,WA,6312
BOUNDARY BEND,VIC,3599
BOURNEWOOD,NSW,2868
BOUVARD,WA,6211
BOWAN PARK,NSW,2864
BOW BOWING,NSW,2566
BOW BRIDGE,WA,6333
BOWDEN,SA,5007
BOWEN HILLS,QLD,4006
BOWENVILLE,QLD,4404
BOWEYA,VIC,3675
BOWGADA,WA,6623
BOWMANS FOREST,VIC,3735
BOWNA,NSW,2644
BOWRAL,NSW,2576
BOX HILL NORTH,VIC,3129
BOXWOOD,VIC,3725
BOYANUP,WA,6237
BOYDTOWN,NSW,2551
BOYERINE,WA,6316
BOYUP BROOK,WA,6244
BRABHAM,WA,6055
BRACALBA,QLD,4512
BRACKEN RIDGE,QLD,4017
BRACKNELL,TAS,7302
BRADDON,ACT,2612
BRADFIELD,NSW,2556
BRADVALE,VIC,3361
BRADY CREEK,SA,5381
BRAHMA LODGE,SA,5109
BRAMFIELD,SA,5670
BRAMLEY,WA,6285
BRANDON,QLD,4808
BRANDON PARK,VIC,3150
BRANDUM,TAS,7304
BRANDY CREEK,VIC,3821
BRANXHOLM,TAS,7261
BRANXHOLME,VIC,3302
BRAY,SA,5276
BRAYBROOK,VIC,3019
BRAY PARK,QLD,4500
BRAZIER,WA,6251
BREADALBANE,TAS,7258
BREAKAWAY CREEK,VIC,3303
BREAKFAST POINT,NSW,2137
BREAKWATER,VIC,3219
BREAM CREEK,TAS,7175
BREDBO,NSW,2626
BREEZA,NSW,2381
BRENTFORD SQUARE,VIC,3131
BRERETON,NSW,2752
BRETON BAY,WA,6043
BREWARRINA,NSW,2839
BRIAR HILL,VIC,3088
BRIDGENORTH,TAS,7277
BRIDGES,QLD,4561
BRIDGEWATER,VIC,3516
BRIDGEWATER,SA,5155
BRIDPORT,TAS,7262
BRIGALOW,QLD,4412
BRIGHTON,VIC,3186
BRIGHTON,SA,5048
BRIGHTON EAST,VIC,3187
BRIGHTON ROAD,VIC,3184
BRIM,VIC,3391
BRIMBAGO,SA,5267
BRINGALILY,QLD,4357
BRISBANE,QLD,4001
BRISBANE ADELAIDE STREET,QLD,4000
BRISBANE AIRPORT,QLD,4008
BRISBANE MARKET,QLD,4106
BRIT BRIT,VIC,3315
BROADBEACH,QLD,4218
BROADFORD,VIC,3658
BROADMEADOW,NSW,2292
BROADMEADOWS,VIC,3047
BROADVIEW,SA,5083
BROADWATER,NSW,2472
BROADWAY,NSW,2007
BROADWAY NEDLANDS,WA,6009
BROBENAH,NSW,2705
BROGANS CREEK,NSW,2848
BROKE,WA,6398
BROKEN CREEK,VIC,3673
BROKEN HEAD,NSW,2481
BROKEN HILL,NSW,2880
BROKEN RIVER,QLD,4757
BRONTE,NSW,2024
BROOKDALE,NSW,2656
BROOKFIELD,VIC,3338
BROOKFIELD,QLD,4069
BROOKLYN,VIC,3012
BROOKLYN PARK,SA,5032
BROOKS BAY,TAS,7116
BROOKSIDE CENTRE,QLD,4053
BROOKSTEAD,QLD,4364
BROOMAN,NSW,2538
BROOMEHILL,WA,6318
BROUGHTON,VIC,3418
BROUGHTON VILLAGE,NSW,2534
BROWN HILL CREEK,SA,5062
BROWNS PLAINS,QLD,4118
BRUARONG,VIC,3749
BRUCE,SA,5433
BRUCE ROCK,WA,6418
BRUIE PLAINS,NSW,2875
BRUKUNGA,SA,5252
BRUMBY,VIC,3885
BRUNGLE,NSW,2722
BRUNSWICK,VIC,3056
BRUNSWICK EAST,VIC,3057
BRUNSWICK SOUTH,VIC,3055
BRUSH CREEK,QLD,4387
BRYDEN,QLD,4312
BRYMAROO,QLD,4403
BUCASIA,QLD,4750
BUCKETTY,NSW,2250
BUCKINGHAM,SA,5270
BUCKLAND,VIC,3740
BUCKLAND,WA,6401
BUCKLAND PARK,SA,5120
BUCKLEY,VIC,3240
BUDERIM,QLD,4556
BUDGEE BUDGEE,VIC,3862
BUFFALO,VIC,3958
BUGLE RANGES,SA,5251
BULARL DI WUNAMI,WA,6728
BULART,VIC,3314
BULDAH,VIC,3890
BULGA,VIC,3586
BULLA,NSW,2835
BULLA,VIC,3428
BULLABURRA,NSW,2784
BULLAHARRE,VIC,3266
BULLARING,WA,6373
BULLARTO,VIC,3461
BULL CREEK,WA,6149
BULLEEN,VIC,3105
BULLENGAROOK,VIC,3437
BULLFINCH,WA,6484
BULLI,NSW,2516
BULLIOH,VIC,3700
BULLOCK HILLS,WA,6350
BULLOCKS FLAT,NSW,2627
BULLOO DOWNS,QLD,4492
BULWER,QLD,4025
BULYEROI,NSW,2387
BUMBALDRY,NSW,2794
BUMBERRAH,VIC,3902
BUNBARTHA,VIC,3634
BUNBURY,SA,5266
BUNBURY,WA,6230
BUNBURY,WA,6231
BUNDANOON,NSW,2578
BUNDANOON,WA,6522
BUNDEENA,NSW,2230
BUNDEMAR,NSW,2823
BUNDI,QLD,4419
BUNDJALUNG,NSW,2473
BUNDOORA,VIC,3083
BUNDURE,NSW,2700
BUNGAL,VIC,3334
BUNGAMA,SA,5540
BUNGAREE,TAS,7256
BUNGARRIBEE,NSW,2767
BUNGEET,VIC,3726
BUNGULUKE,VIC,3527
BUNGUNYA,QLD,4494
BUNINYONG,VIC,3357
BUNJIL,WA,6620
BUNNALOO,NSW,2731
BUNTINE,WA,6613
BUNYA,QLD,4055
BUNYIP,VIC,3815
BURAKIN,WA,6467
BURAMINYA,WA,6452
BURBANK,QLD,4156
BUREEN,NSW,2328
BUREKUP,WA,6227
BURKES BRIDGE,VIC,3568
BURKETOWN,QLD,4830
BURLEIGH DC,QLD,4220
BURNEWANG,VIC,3558
BURNLEY,VIC,3121
BURNS BEACH,WA,6028
BURNSIDE,VIC,3023
BURNT YARDS,NSW,2792
BURPENGARY,QLD,4505
BURRA,NSW,2653
BURRA BURRI,QLD,4410
BURRACOPPIN,WA,6421
BURRAN ROCK,WA,6490
BURREN JUNCTION,NSW,2386
BURROWAY,NSW,2821
BURROWYE,VIC,3709
BURSWOOD,WA,6100
BURTON,QLD,4742
BURWOOD,NSW,1805
BURWOOD,NSW,2134
BURWOOD,VIC,3125
BURWOOD EAST,VIC,3151
BURWOOD HEIGHTS,NSW,2136
BUSHFIELD,VIC,3281
BUTCHERS CREEK,QLD,4885
BUTE,SA,5560
BUTLER,SA,5605
BUTLER,WA,6036
BUXTON,VIC,3711
BYADUK NORTH,VIC,3300
BYFORD,WA,6122
BYLANDS,VIC,3762
BYRNESIDE,VIC,3617
BYROCK,NSW,2831
CABLE BEACH,WA,6726
CABRAMATTA,NSW,2166
CADDENS,NSW,2747
CADELL,SA,5321
CADOUX,WA,6466
CAFFREYS FLAT,NSW,2424
CALAMVALE,QLD,4116
CALDER,TAS,7325
CALDER PARK,VIC,3037
CALEN,QLD,4798
CALIFORNIA GULLY,VIC,3556
CALINGIRI,WA,6569
CALIPH,SA,5310
CALIVIL,VIC,3573
CALLAGHAN,NSW,2308
CALLINGTON,SA,5254
CALLIOPE,NSW,2462
CAL TOWIE,SA,5490
CALVERT,NT,862
CAMBARVILLE,VIC,3779
CAMBERWELL,VIC,3124
CAMBERWELL EAST,VIC,3126
CAMBOON,QLD,4719
CAMBOOYA,QLD,4358
CAMBRIDGE GULF,WA,6743
CAMDEN HEAD,NSW,2443
CAMDEN PARK,SA,5038
CAMENA,TAS,7316
CAMERON PARK,NSW,2285
CAMMERAY,NSW,2062
CAMOOWEAL,QLD,4828
CAMPANIA,TAS,7026
CAMPBELLFIELD,VIC,3061
CAMPBELLS POCKET,QLD,4521
CAMPBELL TOWN,SA,5074
CAMPBELL TOWN,TAS,7210
CAMPERDOWN,NSW,1450
CAMPERDOWN,NSW,2050
CAMP HILL,QLD,4152
CAMPOONA,SA,5640
CAMPSIE,NSW,2194
CAMPVALE,NSW,2318
CANBERRA AIRPORT,ACT,2609
CANBERRA BC,ACT,2610
CANE,WA,6710
CANIAMBO,VIC,3630
CANNA,WA,6627
CANNIE,VIC,3540
CANNINGTON,WA,6987
CANNING VALE,WA,6155
CANNING VALE DC,WA,6970
CANNON HILL,QLD,4170
CANOELANDS,NSW,2157
CANOWIE,SA,5419
CANOWIE BEL T,SA,5420
CANTON BEACH,NSW,2263
CAPALABA,QLD,4157
CAPE BARREN ISLAND,TAS,7257
CAPE JERVIS,SA,5204
CAPEL,WA,6271
CAPEL SOUND,VIC,3940
CAPE RANGE NATIONAL PARK,WA,6707
CAPERTEE,NSW,2846
CAPE WOOLAMAI,VIC,3925
CAPOOMPETA,NSW,2371
CAPTAINS FLAT,NSW,2623
CARABAN,WA,6041
CARABOODA,WA,6033
CARAG CARAG,VIC,3623
CARAMUT,VIC,3274
CARAWA,SA,5680
CARBROOK,QLD,4130
CARCOAR,NSW,2791
CARCUMA,SA,5301
CARDINIA,VIC,3978
CARDROSS,VIC,3496
CARDWELL,QLD,4849
CAREY GULLY,SA,5144
CARINA,VIC,3512
CARINE,WA,6020
CARINGBAH,NSW,1495
CARINGBAH,NSW,2229
CARISBROOK,VIC,3464
CARLINGFORD,NSW,2118
CARLISLE,WA,6101
CARLISLE RIVER,VIC,3239
CARL TON,VIC,3053
CARL TON,TAS,7173
CARL TON NORTH,VIC,3054
CARMILA,QLD,4739
CARNAMAH,WA,6517
CARNEGIE,VIC,3163
CARNES HILL,NSW,2171
CARPENDALE,QLD,4344
CARPENTARIA,QLD,4823
CARRAMAR,NSW,2163
CARRICK,TAS,7291
CARRIEWERLOO,SA,5715
CARRINGTON,NSW,2294
CARRUM,VIC,3197
CARRUM DOWNS,VIC,3201
CARSTAIRS,QLD,4806
CARWARP,VIC,3494
CASEY,ACT,2913
CASEY,TAS,7151
CASSILIS,NSW,2329
CASTAWAYS BEACH,QLD,4567
CASTERTON,VIC,3311
CASTLE COVE,NSW,2069
CASTLECRAG,NSW,2068
CASTLE DONNINGTON,VIC,3585
CASTLE HILL,NSW,1765
CASTLE HILL,NSW,2154
CASTLEMAINE,VIC,3450
CASTLEREAGH,NSW,2749
CASUARINA,NT,811
CASUARINA,NSW,2487
CASULA,NSW,2170
CATABY,WA,6507
CATHERINE FIELD,NSW,2557
CATTLE CREEK,QLD,4407
CAULFIELD,VIC,3162
CAULFIELD EAST,VIC,3145
CAULFIELD JUNCTION,VIC,3161
CAVAN,SA,5094
CAVEAT,VIC,3660
CAVENAGH,SA,5422
CECIL PARK,NSW,2178
CENTENNIAL PARK,NSW,2021
CENTRAL MACDONALD,NSW,2775
CERVANTES,WA,6511
CHADSTONE,VIC,3148
CHAFFEY,SA,5341
CHAIN OF PONDS,SA,5231
CHAMBERS FLAT,QLD,4133
CHANDLER,QLD,4155
CHARAM,VIC,3318
CHARLEROI,VIC,3695
"CHARLES DARWIN 
UNIVERSITY",NT,815
"CHARLES DARWIN 
UNIVERSITY",NT,909
CHARLES STURT UNIVERSITY,NSW,2678
CHARLESTON,SA,5244
CHARLESTOWN,QLD,4608
CHARNWOOD,ACT,2615
CHATSWOOD,NSW,2057
CHATSWOOD,NSW,2067
CHELMER,QLD,4068
CHELMSFORD,QLD,4606
CHEL TENHAM,VIC,3192
CHERMSIDE,QLD,4032
CHEROKEE,VIC,3434
CHERRYBROOK,NSW,2126
CHERRY TREE POOL,WA,6395
CHERRYVILLE,SA,5134
CHESTER HILL,NSW,2162
CHEVALLUM,QLD,4555
CHEYNES,WA,6328
CHICHESTER,WA,6751
CHIFLEY,NSW,2036
CHIFLEY,ACT,2606
CHILDERS,VIC,3824
CHILPENUNDA,SA,5660
CHIL TERN,VIC,3683
CHINANGIN,VIC,3544
CHINTIN,VIC,3756
CHIPPENDALE,NSW,2008
CHIRNSIDE PARK,VIC,3116
CHRISTIE DOWNS,SA,5164
CHRISTIES BEACH,SA,5165
CHRISTMAS HILLS,VIC,3775
CHRISTMAS ISLAND,WA,6798
CHULLORA,NSW,2190
CHURCHILL,VIC,3842
CHURCHLANDS,WA,6018
CHURCH POINT,NSW,2105
CITY BEACH,WA,6015
CITY DELIVERY CENTRE,WA,6000
CITY EAST,QLD,4002
CLACKLINE,WA,6564
CLAREMONT,WA,6010
CLAREMONT,WA,6910
CLARENCE GARDENS,SA,5039
CLARENCE PARK,SA,5034
CLARENDON VALE,TAS,7019
CLARINDA,VIC,3169
CLARKE CREEK,QLD,4705
CLARKEFIELD,VIC,3430
CLARKSON,WA,6030
CLAYFIELD,QLD,4011
CLAYTON,VIC,3168
CLAYTON BAY,SA,5256
CLEAR ISLAND WATERS,QLD,4226
CLEARVIEW,SA,5085
CLELAND,SA,5152
CLEMTON PARK,NSW,2206
CLEVELAND,QLD,4163
CLEVELAND,TAS,7211
CLIFFORD,QLD,4427
CLIFTON BEACH,QLD,4879
CLIFTON BEACH,TAS,7020
CLIFTON HILL,VIC,3068
CLIFTON SPRINGS,VIC,3222
CLINTON,SA,5570
CLOISTERS SQUARE PO,WA,6850
CLONCURRY,QLD,4824
CLONTARF,QLD,4019
CLOVELLY,NSW,2031
CLOVERDALE,WA,6105
CLOVERDALE,WA,6985
CLOVERLEA,VIC,3822
CLUDEN,QLD,4811
CLUNES,VIC,3370
COALCLIFF,NSW,2508
COASTERS RETREAT,NSW,2108
COBDOGLA,SA,5346
COBRAM,VIC,3643
COCATA,SA,5654
COCKALEECHIE,SA,5631
COCKATOO,VIC,3781
COCKATOO ISLAND,WA,6731
COCOROC,VIC,3030
CODJATOTINE,WA,6308
CODRINGTON,VIC,3285
COKUM,VIC,3542
COLAC,VIC,3250
COLDSTREAM,VIC,3770
COLEBEE,NSW,2761
COLEBROOK,TAS,7027
COLES,SA,5272
COLEYVILLE,QLD,4307
COLLARENEBRI,NSW,2833
COLLAROY,NSW,2097
COLLEGE PARK,SA,5069
COLLINGWOOD,VIC,3066
COLLINGWOOD PARK,QLD,4301
COLLINS STREET EAST,VIC,8003
COLLINS STREET WEST,VIC,8007
COLLINSVALE,TAS,7012
COLLINSVILLE,QLD,4804
COLLINSVILLE,SA,5418
COLLINSWOOD,SA,5081
COLONEL LIGHT GARDENS,SA,5041
COLUMBOOLA,QLD,4415
COLYTON,NSW,2760
COMAUM,SA,5277
COMBANING,NSW,2666
COME BY CHANCE,NSW,2832
COMMODINE,WA,6311
COMO,QLD,4571
COMO,WA,6152
COMO,WA,6952
COMOON LOOP,QLD,4858
CONCORD WEST,NSW,2138
CONDAH SWAMP,VIC,3286
CONDON,QLD,4815
CONGUPNA,VIC,3633
CONISTON,NSW,2500
CONSTITUTION HILL,NSW,2145
COOBER PEDY,SA,5723
COOBOWIE,SA,5583
COOCHIEMUDLO ISLAND,QLD,4184
COODANUP,WA,6210
COOGEE,NSW,2034
COOGEE,WA,6166
COOKE PLAINS,SA,5261
COOKERNUP,WA,6219
COOLABINE,QLD,4574
COOLADAR HILL,WA,6638
COOLADDI,QLD,4479
COOLAH,NSW,2843
COOLALINGA,NT,839
COOLAROO,VIC,3048
COOLATAI,NSW,2402
COOLBINIA,WA,6050
COOLOOLA,QLD,4580
COOLOONGUP,WA,6168
COOLUM BEACH,QLD,4573
COOMA,VIC,3616
COOMBERDALE,WA,6512
COOMEALLA,NSW,2717
COOMERA,QLD,4209
COOMRITH,QLD,4422
COONALPYN,SA,5265
COONAWARRA,SA,5263
COONEYS CREEK,NSW,2726
COOPERNOOK,NSW,2426
COORAN,QLD,4569
COORANBONG,NSW,2265
COORONG,SA,5264
COOROW,WA,6515
COORPAROO,QLD,4151
COOTRA,SA,5650
COOYAR,QLD,4402
COOYERDOO,SA,5611
COPEVILLE,SA,5308
COPLEY,SA,5732
COPPING,TAS,7174
CORA LYNN,VIC,3814
CORDEAUX,NSW,2526
CORFIELD,QLD,4733
CORINDA,QLD,4075
CORINTHIA,WA,6426
CORIO,VIC,3214
CORLETTE,NSW,2315
COROROOKE,VIC,3254
CORROWONG,NSW,2633
CORYMBIA,QLD,4513
COSSACK,NT,850
COSSACK,WA,6720
COTHAM,VIC,3101
COTTAGE POINT,NSW,2084
COTTESLOE,WA,6011
COTTESLOE,WA,6911
COTTON TREE,QLD,4558
COTTONVALE,NSW,4375
COUCH BEACH,SA,5577
COWALELLUP,WA,6336
COWANDILLA,SA,5033
COWANGIE,VIC,3506
COWCOWING,WA,6485
COWELL,SA,5602
COWES,VIC,3922
COWLEDS LANDING,SA,5609
COWWARR,VIC,3857
CRABTREE,TAS,7109
CRACE,ACT,2911
CRAIGIE,WA,6025
CRAIGIEBURN,VIC,3064
CRAIGLIE,QLD,4877
CRAMPHORNE,WA,6420
CRANBROOK,WA,6321
CREMORNE,NSW,2090
CREMORNE,TAS,7024
CRESSY,VIC,3322
CRESTMEAD,QLD,4132
CRESWICK,VIC,3363
CRIB POINT,VIC,3919
CRINGILA,NSW,2502
CROMER,NSW,2099
CROMER,SA,5235
CROOKED BROOK,WA,6236
CROPPA CREEK,NSW,2411
CROSSLEY,VIC,3283
CROWDY HEAD,NSW,2427
CROWLEY VALE,QLD,4342
CROWS NEST,NSW,1585
CROWS NEST,NSW,2065
CROYDON,NSW,2132
CROYDON,VIC,3136
CROYDON,SA,5008
CROYDON PARK,NSW,2133
CUDGEWA,VIC,3705
CUDLEE CREEK,SA,5232
CUE,WA,6640
CULCAIRN,NSW,2660
CULGOA,VIC,3530
CULLACABARDEE,WA,6067
CULLIVEL,NSW,2645
CUNDEELEE,WA,6434
CUNDERDIN,WA,6407
CUNNINYEUK,NSW,2734
CURL CURL,NSW,2096
CURLEW WATERS,NSW,2672
CURRABUBULA,NSW,2342
CURRAJONG,QLD,4812
CURRAMULKA,SA,5580
CURRANS HILL,NSW,2567
CURRENCY CREEK,SA,5214
CURRUMBIN,QLD,4223
CURTIN,ACT,2605
CUSTON,SA,5269
"D
DAADENNING CREEK",WA,6410
DACEYVILLE,NSW,2032
DADSWELLS BRIDGE,VIC,3385
DAGLISH,WA,6008
DAISY HILL,QLD,4127
DAKABIN,QLD,4503
DALES CREEK,VIC,3341
DALVEEN,QLD,4374
DALWALLINU,WA,6609
DALYSTON,VIC,3992
DAMPIER,WA,6713
DANDENONG SOUTH,VIC,3164
DANGAR,NSW,2309
DARBYS FALLS,NSW,2793
DARKE PEAK,SA,5642
DARLINGHURST,NSW,1300
DARLINGHURST,NSW,2010
DARLING POINT,NSW,2027
DARLINGTON,VIC,3271
DARLINGTON,SA,5047
DARLINGTON,WA,6070
DARLINGTON POINT,NSW,2706
DARRA,QLD,4076
DARTMOUTH,VIC,3701
DARWIN,NT,801
DARWIN CITY,NT,800
DARWIN RIVER,NT,841
DAVESON,QLD,4855
DAVEYSTON,SA,5355
DAVOREN PARK,SA,5113
DAYMAR,QLD,4497
DECEPTION BAY,QLD,4508
DELACOMBE,VIC,3356
DENBARKER,WA,6324
DENHAM,WA,6537
DENISTONE,NSW,2114
DENISTONE EAST,NSW,2112
DENNINGTON,VIC,3280
DERNANCOURT,SA,5075
DERRIMUT,VIC,3026
DERRINALLUM,VIC,3325
DERWENT PARK,TAS,7009
DEVEREUX CREEK,QLD,4753
DEVILS CREEK,WA,6630
DEVON HILLS,TAS,7300
DEWARS POOL,WA,6567
DHURAGOON,NSW,2733
DHURRINGILE,VIC,3610
DIAMANTINA LAKES,QLD,4735
DIAMOND CREEK,VIC,3089
DIAMOND VALLEY,QLD,4553
DIANELLA,WA,6059
DIDDILLIBAH,QLD,4559
DIGBY,VIC,3309
DIGGERS REST,VIC,3427
DINGABLEDINGA,SA,5172
DINGEE,VIC,3571
DINGLEY VILLAGE,VIC,3172
DINMORE,QLD,4303
DIRRANBANDI,QLD,4486
DOCKLANDS,VIC,3008
DOCKLANDS,VIC,8012
DOCTORS FLAT,VIC,3895
DOLLS POINT,NSW,2219
DONCASTER,VIC,3108
DONCASTER EAST,VIC,3109
DONVALE,VIC,3111
DOOBOOBETIC,VIC,3478
DOODLAKINE,WA,6411
DOOKIE,VIC,3646
DOOKIE COLLEGE,VIC,3647
DOOLANDELLA,QLD,4077
DOREEN,VIC,3754
DOUBLE BAY,NSW,1360
DOUBLE BAY,NSW,2028
DOUBLE BRIDGES,VIC,3893
DOUGLAS,QLD,4354
DOUGLAS PARK,NSW,2569
DOVER,TAS,7117
DOVER HEIGHTS,NSW,2030
DOVETON,VIC,3177
DOWERIN,WA,6461
DOWSING POINT,TAS,7010
DRIFFIELD,VIC,3840
DRILLHAM,QLD,4424
DRUMANURE,VIC,3636
DRUMMOND NORTH,VIC,3446
DRUMMOYNE,NSW,1470
DRUMMOYNE,NSW,2047
DRYSDALE RIVER,WA,6740
DUARINGA,QLD,4712
DUDININ,WA,6363
DULCOT,TAS,7025
DULWICH,SA,5065
DULWICH HILL,NSW,2203
DULYALBIN,WA,6425
DUMBALK,VIC,3956
DUNCRAIG,WA,6023
DUNDAS,NSW,2117
DUNDEE BEACH,NT,840
DUNKELD,VIC,3294
DUNN ROCK,WA,6355
DUNSBOROUGH,WA,6281
DURAL,NSW,2158
DURANILLIN,WA,6393
DURHAM OX,VIC,3576
DURI,NSW,2344
DUTTON PARK,QLD,4102
DYNNYRNE,TAS,7005
DYSART,QLD,4745
EAGLE FARM,QLD,4009
EAGLEHAWK NECK,TAS,7179
EAGLE POINT,VIC,3878
EAGLE VALE,NSW,2558
EAST BRISBANE,QLD,4169
EASTERN CREEK,NSW,2766
EASTERN SUBURBS MC,NSW,2004
EAST FREMANTLE,WA,6158
EAST HILLS,NSW,2213
EAST KILLARA,NSW,2071
EASTLAKES,NSW,2018
EAST LINDFIELD,NSW,2070
EAST LYONS RIVER,WA,6705
EAST MELBOURNE,VIC,3002
EAST MELBOURNE,VIC,8002
EAST PERTH,WA,6004
EAST PERTH,WA,6892
EAST POPANYINNING,WA,6309
EAST RYDE,NSW,2113
EAST SALE,VIC,3852
EAST VICTORIA PARK,WA,6981
EAST WICKEPIN,WA,6370
EASTWOOD,NSW,2122
EASTWOOD,SA,5063
EATON,WA,6232
EATONS HILL,QLD,4037
EDEN PARK,VIC,3757
EDILLILIE,SA,5630
EDINBURGH,SA,5111
EDMONDSON PARK,NSW,2174
EGLINTON,WA,6034
EIGHT MILE PLAINS,QLD,4113
EILDON,VIC,3713
ELANORA,QLD,4221
ELANORA HEIGHTS,NSW,2101
ELDORADO,VIC,3746
ELEEBANA,NSW,2282
ELIMBAH,QLD,4516
ELIZABETH,SA,5112
ELIZABETH BAY,NSW,2011
ELIZABETH ISLAND,VIC,3921
ELLEN GROVE,QLD,4078
ELMHURST,VIC,3469
ELPHINSTONE,VIC,3448
ELSTERNWICK,VIC,3185
EL THAM,VIC,3095
ELWOMPLE,SA,5260
EMBLETON,WA,6062
EMERALD,QLD,4720
EMU HEIGHTS,NSW,2750
EMU PARK,QLD,4710
EMU VALE,QLD,4371
ENDEAVOUR HILLS,VIC,3802
ENEABBA,WA,6518
ENGADINE,NSW,2233
ENMORE,NSW,2042
EPPING,NSW,1710
EPPING,NSW,2121
EPPING,VIC,3076
ERIGOLIA,NSW,2669
ERINA HEIGHTS,NSW,2260
ERINDALE CENTRE,ACT,2903
ERIN VALE,NSW,2663
ERMINGTON,NSW,1700
ERMINGTON,NSW,2115
EROMANGA,QLD,4480
ERSKINE PARK,NSW,2759
ERSKINEVILLE,NSW,2043
ESSENDON FIELDS,VIC,3041
EUDLO,QLD,4554
EUGOWRA,NSW,2806
EULO,QLD,4491
EUNGELLA HINTERLAND,QLD,4741
EUROBIN,VIC,3739
EURONG,QLD,4581
EUSTON,NSW,2737
EVANS LANDING,QLD,4874
EVANSTON,SA,5116
EVELYN,QLD,4888
EXETER,SA,5019
EYRE,SA,5121
"F
FADDEN",ACT,2904
FAIRFIELD,NSW,1860
FAIRFIELD,NSW,2165
FAIRLIGHT,NSW,2094
FAIRVIEW PARK,SA,5126
FARINA,SA,5731
FARRELL FLAT,SA,5416
FARRER,ACT,2607
FAULCONBRIDGE,NSW,2776
FAWKNER,VIC,3060
FEDERAL,QLD,4568
FELIXSTOW,SA,5070
FERNBANK,VIC,3864
FERN BAY,NSW,2295
FERNDALE,WA,6148
FERNSHAW,VIC,3778
FERNTREE GULLY,VIC,3156
FERNY CREEK,VIC,3786
FIELDSTONE,VIC,3024
FIGTREE,NSW,2525
FINCH HATTON,QLD,4756
FINDON,SA,5023
FINGAL,TAS,7214
FISCHER,SA,5502
FISH CREEK,VIC,3959
FISHERMAN BAY,SA,5522
FISHERS HILL,NSW,2421
FITZGERALD,WA,6337
FITZGIBBON,QLD,4018
FITZROY,VIC,3065
FITZROY,SA,5082
FITZROY CROSSING,WA,6765
FLAGSTONE,QLD,4280
FLEMINGTON,VIC,3031
FLETCHER,QLD,4381
FLINDERS,VIC,3929
FLINDERS LANE,VIC,8009
FLINDERS PARK,SA,5025
FLOREAT,WA,6014
FLOWERDALE,VIC,3717
FLOWERPOT,TAS,7163
FLYNN,NT,875
FOOTSCRAY,VIC,3011
FORBES,VIC,3764
FOREST HILL,NSW,2651
FOREST LODGE,NSW,2037
FOREST RANGE,SA,5139
FOREST REEFS,NSW,2798
FORESTVILLE,NSW,2087
FORREST,ACT,2603
FORREST,VIC,3236
FORRESTANIA,WA,6359
FORRESTFIELD,WA,6058
FORRESTON,SA,5233
FORTESCUE,WA,6716
FORTESCUE,TAS,7182
FOUNTAINDALE,NSW,2258
FOUNTAIN GATE,VIC,3805
FOUR CORNERS,NSW,2716
FRANKLAND RIVER,WA,6396
FRANKLIN,TAS,7113
FRANKLYN,SA,5421
FRANKSTON,VIC,3199
FRANKSTON NORTH,VIC,3200
FREELING,SA,5372
FREMANTLE,WA,6160
FREMANTLE,WA,6959
FRENCH PARK,NSW,2655
FRENCHS FOREST,NSW,1640
FRENCHS FOREST,NSW,2086
FULHAM,SA,5024
FYANSFORD,VIC,3218
GABBIN,WA,6476
GALONG,NSW,2585
GANMAIN,NSW,2702
GAPUWIYAK,NT,880
GARDEN CITY,VIC,3207
GARLAND,NSW,2797
GATTON COLLEGE,QLD,4345
GAZETTE,VIC,3289
GEILSTON BAY,TAS,7015
GEMBROOK,VIC,3783
GENOA,VIC,3891
GEORGES HALL,NSW,2198
GEORGE STREET,QLD,4003
GEORGETOWN,NSW,2298
GEORGETOWN,SA,5472
GERALDTON PO,WA,6531
GIBSON,WA,6448
GIDGEGANNUP,WA,6083
GILBERTON,VIC,3072
GILBERTON,QLD,4208
GILDEROY,VIC,3797
GILES CORNER,SA,5411
GILLES PLAINS,SA,5086
GILLMAN,SA,5013
GINDORAN,QLD,4676
GIPPSLAND MC,VIC,3841
GIRGARRE,VIC,3624
GIRRAWEEN,NT,836
GLADESVILLE,NSW,1675
GLADESVILLE,NSW,2111
GLADFIELD,VIC,3575
GLADSTONE,SA,5473
GLADSTONE PARK,VIC,3043
GLANDORE,SA,5037
GLASS HOUSE MOUNTAINS,QLD,4518
GLEBE,TAS,7000
GLENAIRE,VIC,3238
GLENBROOK,NSW,2773
GLENDALE,QLD,4711
GLENDALOUGH,WA,6016
GLENDAMBO,SA,5719
GLENDEN,QLD,4743
GLENELG,SA,5045
GLENFERN,QLD,4515
GLENFIELD,NSW,2167
GLEN FORBES,VIC,3990
GLEN FORREST,WA,6071
GLENGARRY,VIC,3854
GLENGOWRIE,SA,5044
GLENHOPE EAST,VIC,3522
GLEN IRIS,VIC,3146
GLENLYNN,WA,6256
GLENMORE PARK,NSW,2745
